,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
4048,/organization/akimbo-financial,/funding-round/ec6a91f7aa1c5d66f57a75ef96540658,angel,,13-05-2013,850000.0
4056,/organization/akoha,/funding-round/4e0cff4a1062e86cbcf4e32d2f90740a,angel,,28-04-2008,1900000.0
4108,/organization/aktivito,/funding-round/9bd88f1a88302e163cc0160a875af8de,angel,,07-04-2012,30000.0
4125,/organization/al3abmizo,/funding-round/9924dd58167871a617963a546a20303b,angel,,01-01-2013,2000.0
4154,/organization/alauna-com,/funding-round/a219bf374a72e7d4b53467384ae1dd4b,angel,,01-03-2014,55000.0
4255,/organization/alenty,/funding-round/af2b1d13f85c173149ffa7901943e278,angel,,20-10-2007,571520.0
4281,/organization/alerts,/funding-round/0fe16d11c1ecd3be99e4d389738c7589,angel,,10-07-2008,1200000.0
4360,/organization/aliada-mx,/funding-round/fb408dcd1aceef647539f6f36603a195,angel,,01-09-2014,100000.0
4370,/organization/alibaba,/funding-round/9c71f8e20ddb81214c6075b03fe77cea,angel,,01-10-1999,5000000.0
4375,/organization/alice-app,/funding-round/a3200af5a5a4fca6ff96410902db695a,angel,,01-06-2013,500000.0
4413,/organization/aligned-telehealth,/funding-round/bc667d217f5bfde0431120cab2522f83,angel,,03-09-2014,
4422,/organization/alike,/funding-round/5f2dd3903bf8e1b3c1ee660e491a0987,angel,,01-08-2012,25000.0
4487,/organization/all-for-body,/funding-round/412b0a9e8153d9b917d3ceeaef281f99,angel,,20-03-2015,
4490,/organization/all-my-data,/funding-round/71d98cc11a80594aa6f2349c04b83739,angel,,01-05-2005,25000.0
4497,/organization/all-together-now,/funding-round/155740250c234ba8ce40b5186d18e839,angel,,01-01-2011,
4522,/organization/alleantia,/funding-round/116b843d420b220329ac1e14db3f7cbe,angel,,01-06-2013,182119.0
4565,/organization/allgreenup,/funding-round/b2bd26c503a8658acaf7fede0912ae0d,angel,,01-08-2013,300000.0
4607,/organization/allmoxy,/funding-round/ccd95257bdc4f50a3fc26dec0b642c71,angel,,28-06-2012,1000000.0
4613,/organization/allocab,/funding-round/83d0bc25bffc070fe2660a5328688973,angel,,20-02-2013,80039.0
4686,/organization/ally,/funding-round/62412c5c14620dd0f349d71ce9feb67a,angel,,01-01-2014,400000.0
4695,/organization/allydvm,/funding-round/5b4f920affad398741463d2a71690486,angel,,22-08-2012,200000.0
4713,/organization/almashopping,/funding-round/fe322741d912f9a1b182343f65398800,angel,,01-09-2012,75000.0
4732,/organization/alohar-mobile,/funding-round/0b7dad766f15c92a3bcffa845b1c4e9b,angel,,24-04-2011,750000.0
4733,/organization/alohar-mobile,/funding-round/89210a8192c0e7c0022120f4154a2284,angel,,24-04-2011,2000000.0
4743,/organization/alpacadb,/funding-round/c917bce94ebcf4f756ffceecd929d6c7,angel,,19-02-2014,48938.0
4772,/organization/alphaclone,/funding-round/8c6fc16ea831993c5f5c39b502862837,angel,,01-08-2010,325000.0
4782,/organization/alphanation,/funding-round/883ae931ae3e123ee741a0acaba06f4b,angel,,01-08-2011,250000.0
4788,/organization/alphastripe,/funding-round/fe2673ac367fb89d25d752ddc7ec332b,angel,,28-11-2012,
4793,/organization/alphathrottle-com,/funding-round/7ebd9bfa9c30ead623b0a12c738534f5,angel,,01-08-2011,50000.0
4873,/organization/altermune-technologies,/funding-round/09eb056efe00e5c2d99a23e95f0df2e7,angel,,22-09-2011,7000000.0
4922,/organization/altitude-co,/funding-round/db7833c2465edf6739fe7767162679b9,angel,,18-02-2014,
4997,/organization/alumnize,/funding-round/8b51b3b18f13963a97635c7b6c824f90,angel,,04-10-2012,20000.0
5012,/organization/alvenda-inc,/funding-round/befcb69b853a72b79ec7b5bbbed191e4,angel,,16-11-2009,590000.0
5124,/organization/ambio-health,/funding-round/63ed6be98113f99f2dd09cad0c103a2b,angel,,12-09-2013,525000.0
5216,/organization/american-civics-exchange,/funding-round/7b1d48820a77ea11f8acec84af295b3f,angel,,20-08-2012,170000.0
5410,/organization/amotech,/funding-round/6a099f78d8c80fe6fea7e9b132e47fb1,angel,,01-04-2011,300000.0
5411,/organization/amotech,/funding-round/e717674c85540919fce08eb87791bbe9,angel,,21-06-2010,100000.0
5491,/organization/amprice,/funding-round/f73972d408ac89363987d43bff98ac35,angel,,25-04-2008,467880.0
5508,/organization/amrit-advanced-biotech,/funding-round/44e5572e7f663c79eb3b95e6e565ae9f,angel,,01-04-2007,150000.0
5509,/organization/amrit-advanced-biotech,/funding-round/d8878e42c6c2b235c9b56a6b647a4f93,angel,,01-07-2008,698097.0
