,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
8845,/organization/auramist,/funding-round/20497cf5858006e57dc8e0e762c24f89,private_equity,,01-11-2013,1250000.0
8846,/organization/auramist,/funding-round/9bc122637838b8c67990b7992d0eef48,private_equity,,18-06-2013,3508000.0
8867,/organization/aurigo-software,/funding-round/6c1d1d79e96d5b858ea44a1493541e6b,private_equity,,23-12-2005,4000000.0
8885,/organization/aurora-biofuels,/funding-round/7a1a91c886b21a5cf863aa6938b0f385,private_equity,,01-07-2012,20000000.0
8887,/organization/aurora-biofuels,/funding-round/b901a8f49ce32b79420be29b3190d1ea,private_equity,,01-04-2013,16000000.0
9043,/organization/autogenomics,/funding-round/ecc9f35bab30487e93dd7118f97d4e0b,private_equity,,11-01-2013,165600.0
9051,/organization/autologic-diagnostics,/funding-round/8e1e9ec377e184e8dc0ac233afe77eb7,private_equity,,01-02-2009,5388008.0
9058,/organization/automated-trading-desk,/funding-round/6e9d9fa8ebe13c3db463a8c6f900c391,private_equity,,06-01-2007,60000000.0
9107,/organization/autoportal-com,/funding-round/04a1cf950eb6822b3c7297fc4edc62dc,private_equity,,18-11-2013,
9119,/organization/autoreflex-com,/funding-round/c21daa9b6ad3a687476b18fefe1ea99d,private_equity,,01-09-2009,
9162,/organization/ava-ai,/funding-round/51534028821b02ae1bafe9980240499f,private_equity,,02-05-2013,16000000.0
9196,/organization/avalara,/funding-round/0c64ff1b832813925029d9f55034fbef,private_equity,,13-05-2014,26300000.0
9197,/organization/avalara,/funding-round/4f47d99fd87fe719c108443b8c04319a,private_equity,,08-01-2013,425355.0
9199,/organization/avalara,/funding-round/8c85dac91fdb30025bac4000a0c3bee4,private_equity,,10-11-2014,100000000.0
9200,/organization/avalara,/funding-round/8cc121ed7d778705d77d5ba99342a8cd,private_equity,,20-01-2015,42000000.0
9201,/organization/avalara,/funding-round/91d432f1025b57db6290ee6f40c57ddb,private_equity,,13-02-2014,30000000.0
